,response,points,points_after,energy,energy_after,reward,energy_cost,trial,segment,segment_after,transition,reaction_time,timeout,energy_out,stimulus_onset,response_onset,selection_onset,feedback_onset,iti_onset,vpn,dv_planning_old,dv_planning,dv_myopic_planning,dv_simple,dv_OCR,dv_AVGRR,conflict_planning_old,conflict_planning,conflict_myopic_planning,is_full_energy,is_low_energy_LC,is_low_energy_HC,is_basic_1,is_basic_2,is_basic_3,is_basic_4,is_basic,is_1,is_2,is_3,is_4,is_23,is_14,index
0,,0,0,3,3,2,1,0,0,1,2,,1,0,15125.0,15126.0,0.0,15131.0,15132.0,101,-0.376953125,-0.21881103515625,-1.0104166666666679,-0.5,0.33333333333333326,0.33333333333333326,-0.376953125,-0.21881103515625,-1.0104166666666679,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
1,0.0,0,3,3,2,3,1,1,0,1,2,0.8304299999999999,0,0,15135.0,15135.0,15136.0,15141.0,15142.0,101,0.8430989583333321,0.9709930419921875,-0.3333333333333339,0.5,1.3333333333333333,1.409090909090909,-0.8430989583333321,-0.9709930419921875,-0.3333333333333339,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1
2,0.0,3,7,2,1,4,1,2,0,1,2,0.91953,0,0,15144.0,15145.0,15146.0,15147.0,15148.0,101,1.501302083333334,1.87591552734375,0.6666666666666661,1.5,2.333333333333333,2.5,-1.501302083333334,-1.87591552734375,-0.6666666666666661,0,0,0,0,0,0,1,1,0,0,0,1,0,1,2
3,0.0,7,11,1,0,4,1,3,0,1,2,1.5135,0,0,15153.0,15153.0,15155.0,15160.0,15161.0,101,0.6666666666666679,1.747314453125,0.6666666666666665,1.5,2.333333333333333,2.611111111111111,-0.6666666666666679,-1.747314453125,-0.6666666666666665,0,0,0,0,0,0,1,1,0,0,0,1,0,1,3
4,1.0,11,11,0,1,1,2,0,1,1,3,0.88623,0,0,15163.0,15163.0,15164.0,15168.0,15169.0,101,-1.4469401041666679,-1.092315673828125,-1.666666666666667,-1.5,-1.1666666666666667,-0.75,-1.4469401041666679,-1.092315673828125,-1.666666666666667,0,0,1,0,0,0,0,0,1,0,0,0,0,1,4
5,0.0,11,11,1,1,3,2,1,1,1,3,1.6762,0,1,15174.0,15174.0,15176.0,15177.0,15179.0,101,-1.9554036458333357,-2.357330322265625,-3.3333333333333335,0.5,-0.16666666666666674,0.25,-1.9554036458333357,-2.357330322265625,-3.3333333333333335,0,0,1,0,0,0,0,0,0,0,1,0,1,0,5
6,1.0,11,11,1,2,4,2,2,1,1,3,0.9405399999999999,0,0,15183.0,15183.0,15184.0,15187.0,15188.0,101,-2.175130208333334,-2.4366455078125,-3.333333333333333,1.5,0.33333333333333326,0.75,-2.175130208333334,-2.4366455078125,-3.333333333333333,0,0,1,0,0,0,0,0,0,0,0,1,0,1,6
7,0.0,11,14,2,0,3,2,3,1,1,3,4.0881,0,0,15191.0,15192.0,15196.0,15199.0,15200.0,101,-0.7890625,-0.35693359375,-2.0,0.5,-0.16666666666666674,0.25,-0.7890625,-0.35693359375,-2.0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,7
8,1.0,14,14,0,1,1,2,0,1,0,1,0.79289,0,0,15204.0,15204.0,15205.0,15210.0,15211.0,101,-1.5442708333333321,-1.2416229248046875,-1.666666666666667,-1.5,-1.1666666666666667,-1.1666666666666667,-1.5442708333333321,-1.2416229248046875,-1.666666666666667,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8
9,1.0,14,14,1,2,2,2,1,1,0,1,1.1358,0,0,15214.0,15214.0,15215.0,15220.0,15221.0,101,-2.96875,-2.3812713623046875,-3.3333333333333335,-0.5,-0.6666666666666667,-0.75,-2.96875,-2.3812713623046875,-3.3333333333333335,0,0,1,0,0,0,0,0,0,1,0,0,1,0,9
10,1.0,14,14,2,3,3,2,2,1,0,1,4.5277,0,0,15225.0,15225.0,15230.0,15231.0,15232.0,101,-1.6848958333333321,-0.69586181640625,-2.0,0.5,-0.16666666666666674,-0.375,-1.6848958333333321,-0.69586181640625,-2.0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,10
11,1.0,14,14,3,4,2,2,3,1,0,1,1.6153,0,0,15237.0,15238.0,15239.0,15244.0,15245.0,101,-2.684895833333332,-1.594482421875,-3.0,-0.5,-0.6666666666666667,-1.0833333333333335,-2.684895833333332,-1.594482421875,-3.0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,11
12,0.0,14,18,4,3,4,1,0,0,0,0,1.0552,0,0,15249.0,15249.0,15250.0,15255.0,15256.0,101,1.5869140625,1.9045639038085938,1.2499999999999982,1.5,2.333333333333333,1.5,-1.5869140625,-1.9045639038085938,-1.2499999999999982,0,0,0,0,0,0,1,1,0,0,0,1,0,1,12
13,1.0,18,18,3,4,2,1,1,0,0,0,1.1495,0,0,15260.0,15260.0,15261.0,15264.0,15265.0,101,-0.802734375,-0.307891845703125,-1.333333333333334,-0.5,0.33333333333333326,-0.5,-0.802734375,-0.307891845703125,-1.333333333333334,0,0,0,0,1,0,0,1,0,1,0,0,1,0,13
14,0.0,18,20,4,3,2,1,2,0,0,0,3.6983,0,0,15268.0,15269.0,15272.0,15277.0,15278.0,101,-0.546875,-0.03192138671875,-1.333333333333334,-0.5,0.33333333333333326,-0.5,-0.546875,-0.03192138671875,-1.333333333333334,0,0,0,0,1,0,0,1,0,1,0,0,1,0,14
15,0.0,20,24,3,2,4,1,3,0,0,0,1.093,0,0,15281.0,15282.0,15283.0,15284.0,15285.0,101,1.03125,1.796142578125,0.666666666666667,1.5,2.333333333333333,1.5,-1.03125,-1.796142578125,-0.666666666666667,0,0,0,0,0,0,1,1,0,0,0,1,0,1,15
16,0.0,24,27,2,1,3,1,0,0,0,0,1.2317,0,0,15289.0,15290.0,15291.0,15294.0,15295.0,101,0.01416015625,0.3355712890625,-0.375,0.5,1.3333333333333333,0.5,-0.01416015625,-0.3355712890625,-0.375,0,0,0,0,0,1,0,1,0,0,1,0,1,0,16
17,1.0,27,27,1,2,1,1,1,0,0,0,0.88345,0,0,15299.0,15299.0,15300.0,15305.0,15306.0,101,-2.337890625,-2.04193115234375,-2.5,-1.5,-0.6666666666666667,-1.5,-2.337890625,-2.04193115234375,-2.5,0,0,0,1,0,0,0,1,1,0,0,0,0,1,17
18,0.0,27,30,2,1,3,1,2,0,0,0,1.5136,0,0,15309.0,15310.0,15311.0,15315.0,15316.0,101,-0.1171875,0.4161376953125,-0.3333333333333339,0.5,1.3333333333333333,0.5,-0.1171875,-0.4161376953125,-0.3333333333333339,0,0,0,0,0,1,0,1,0,0,1,0,1,0,18
19,1.0,30,30,1,2,2,1,3,0,0,0,0.9426,0,0,15319.0,15320.0,15321.0,15326.0,15327.0,101,-1.53125,-0.9638671875,-1.3333333333333335,-0.5,0.33333333333333326,-0.5,-1.53125,-0.9638671875,-1.3333333333333335,0,0,0,0,1,0,0,1,0,1,0,0,1,0,19
20,0.0,30,34,2,1,4,1,0,0,1,2,1.1118,0,0,15332.0,15332.0,15333.0,15337.0,15338.0,101,1.4218750000000018,1.5794754028320312,0.625,1.5,2.333333333333333,2.333333333333333,-1.4218750000000018,-1.5794754028320312,-0.625,0,0,0,0,0,0,1,1,0,0,0,1,0,1,20
