,response,points,points_after,energy,energy_after,reward,energy_cost,trial,segment,segment_after,transition,reaction_time,timeout,energy_out,stimulus_onset,response_onset,selection_onset,feedback_onset,iti_onset,vpn,dv_planning_old,dv_planning,dv_myopic_planning,dv_simple,dv_OCR,dv_AVGRR,conflict_planning_old,conflict_planning,conflict_myopic_planning,is_full_energy,is_low_energy_LC,is_low_energy_HC,is_basic_1,is_basic_2,is_basic_3,is_basic_4,is_basic,is_1,is_2,is_3,is_4,is_23,is_14,index
0,0,0,1,3,2,1,1,0,0,1,2,2.6119,0,0,832.82,833.35,835.98,837.0,838.03,101,-1.376953125,-1.21881103515625,-2.010416666666668,-1.5,-0.6666666666666667,-0.6666666666666667,-1.376953125,-1.21881103515625,-2.010416666666668,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
1,0,1,3,2,1,2,1,1,0,1,2,2.3143,0,0,839.06,839.58,841.91,842.93,843.96,101,-0.5735677083333321,-0.47802734375,-1.3750000000000009,-0.5,0.33333333333333326,0.40909090909090895,-0.5735677083333321,-0.47802734375,-1.3750000000000009,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1
2,1,3,3,1,2,4,1,2,0,1,2,1.5257,0,0,844.98,845.5,847.05,848.06,849.1,101,1.1888020833333321,1.112060546875,0.5,1.5,2.333333333333333,2.5,-1.1888020833333321,-1.112060546875,-0.5,0,0,0,0,0,0,1,1,0,0,0,1,0,1,2
3,0,3,7,2,1,4,1,3,0,1,2,1.1284,0,0,850.11,850.63,851.78,852.8,853.83,101,1.877604166666666,1.72412109375,0.666666666666667,1.5,2.333333333333333,2.611111111111111,-1.877604166666666,-1.72412109375,-0.666666666666667,0,0,0,0,0,0,1,1,0,0,0,1,0,1,3
4,1,7,7,1,2,1,2,0,1,1,3,1.7696,0,0,854.86,855.4,857.2,858.23,859.26,101,-3.071858723958332,-2.2638778686523438,-3.333333333333334,-1.5,-1.1666666666666667,-0.75,-3.071858723958332,-2.2638778686523438,-3.333333333333334,0,0,1,0,0,0,0,0,1,0,0,0,0,1,4
5,1,7,7,2,3,1,2,1,1,1,3,1.2888,0,0,860.3,860.81,862.11,863.13,864.15,101,-2.4404296875,-2.371856689453125,-4.0,-1.5,-1.1666666666666667,-0.75,-2.4404296875,-2.371856689453125,-4.0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,5
6,1,7,7,3,4,2,2,2,1,1,3,3.4223,0,0,865.16,865.68,869.11,870.13,871.15,101,-1.25390625,-1.1624755859375,-3.0,-0.5,-0.6666666666666667,-0.25,-1.25390625,-1.1624755859375,-3.0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,6
7,0,7,10,4,2,3,2,3,1,1,3,3.1504,0,0,872.16,872.68,875.85,876.86,877.88,101,-0.0052083333333339255,0.175048828125,-2.0,0.5,-0.16666666666666674,0.25,-0.0052083333333339255,-0.175048828125,-2.0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,7
8,1,10,10,2,3,1,2,0,1,0,1,0.75352,0,0,878.9,879.41,880.18,881.2,882.21,101,-2.8604736328125,-2.517425537109375,-4.0,-1.5,-1.1666666666666667,-1.1666666666666667,-2.8604736328125,-2.517425537109375,-4.0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,8
9,0,10,14,3,1,4,2,1,1,0,1,0.93199,0,0,883.23,883.75,884.7,885.71,886.73,101,0.18603515625,0.6434326171875,-1.0,1.5,0.33333333333333326,0.25,-0.18603515625,-0.6434326171875,-1.0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,9
